chrom	start	end	sample	gt	supporting_sites	sites	DP	switches	CIGAR
I	855	15068010	CB4856	2	25503	25503	18.2810649727	0	A25503
II	943	15276962	CB4856	2	37644	37644	18.9345712464	0	A37644
III	3683	13783502	CB4856	2	23775	23775	17.461997897	0	A23775
IV	192	17491919	CB4856	2	26483	26483	19.484877091	0	A26483
V	396	20923490	CB4856	2	71041	71041	19.3293591025	0	A71041
X	5163	17717342	CB4856	2	18323	18323	22.8544452328	0	A18323
MtDNA	13420	13420	CB4856	2	1	1	80.0	0	A1
I	855	15068010	N2	1	24200	24211	13.1755785124	15	R2032A1R9806A1R1897A1R1106A3R6646A2R171A1R1768A1R774A1
II	943	15276962	N2	1	36387	36407	14.6499024377	28	R1042A1R3A3R2A2R8686A1R9908A1R1445A1R683A1R2725A1R5618A3R2A2R235A1R1418A1R2279A1R168A1R2173
III	3683	13783502	N2	1	22417	22433	12.8571173663	26	R3196A1R4698A1R2667A1R675A1R544A1R372A2R79A2R842A1R1211A1R1631A1R216A2R3068A1R416A1R2802
IV	57787	17491919	N2	1	25566	25598	14.0305483846	38	R14A2R916A1R6874A1R1798A1R2529A1R259A1R522A1R2A1R434A1R34A2R1A12R869A1R273A1R379A1R278A1R1039A1R651A1R891A1R56A1R7747
V	396	20923490	N2	1	69563	69599	15.3121630752	46	R3A2R21553A4R2A1R1206A3R2230A1R3751A2R124A1R614A1R366A1R2A1R730A2R2068A1R13923A2R1A1R3A1R8316A1R2A2R2720A4R1922A1R74A1R673A1R22A1R3429A1R5829
X	5163	17717342	N2	1	18085	18106	15.0545203207	28	R173A2R184A1R4207A1R154A1R3019A3R3294A2R871A1R344A2R220A1R2002A2R3105A1R327A2R55A1R53A1R77
I	7390040	14923500	E100	1	1	3	1.0	1	A2R1
II	3108668	11209817	E100	1	2	4	1.5	1	R2A2
IV	6300562	13453536	E100	1	5	6	1.4	2	R1A1R4
V	706930	20870196	E100	1	20	22	1.2	4	R11A1R6A1R3
X	1884567	14384071	E100	1	5	8	1.6	1	R5A3
I	3659	15042527	E101	2	2214	2268	1.99593495935	74	A57R1A2R1A17R1A55R1A50R1A29R1A38R3A93R1A51R1A36R7A4R2A86R1A79R2A4R2A5R1A29R1A468R1A264R1A23R1A8R1A96R2A1R1A40R2A2R1A48R4A5R1A2R1A32R1A113R1A12R1A65R2A94R1A61R1A22R1A9R1A57R1A38R1A119
II	9186	4406144	E101	2	1966	1992	1.90996948118	32	A13R1A19R3A11R1A56R1A35R2A152R1A419R1A12R3A45R1A366R1A11R2A2R1A192R1A203R4A303R2A10R1A117
II	4417265	7883952	E101	1	514	515	1.87159533074	2	R52A1R462
II	7931319	14116405	E101	2	1005	1011	1.93631840796	12	A209R1A2R1A136R1A92R1A120R1A8R1A438
II	14125401	15276962	E101	1	300	301	1.88666666667	2	R195A1R105
III	3790	13780910	E101	1	2541	2560	2.28571428571	12	R1066A13R238A2R8A1R129A1R16A1R518A1R566
IV	395665	17491902	E101	2	2623	2702	2.2359893252	92	A11R1A2R1A129R2A21R7A8R3A17R2A50R1A7R1A24R2A8R2A149R2A1R1A8R1A341R3A296R1A3R1A1R8A6R1A1R2A1R1A1R2A88R1A56R1A6R3A163R1A9R1A9R1A61R2A1R1A93R1A155R1A64R2A69R2A192R2A100R1A56R1A19R3A10R1A15R1A127R2A36R1A5R1A75R1A5R1A7R1A18R1A99
V	493	20920613	E101	2	7526	7612	2.12994950837	108	A25R1A175R2A362R1A4R2A281R1A9R4A135R1A226R6A64R2A86R1A593R2A170R1A9R1A61R2A73R1A116R1A25R1A38R1A214R2A430R1A65R1A87R1A736R1A1R1A22R1A129R1A55R1A186R3A220R5A4R2A23R1A2R1A507R1A79R3A258R1A464R2A100R1A11R2A138R1A29R2A95R1A31R4A121R1A3R1A11R1A52R1A49R1A3R1A72R1A243R1A66R1A30R1A1R2A191R3A346
X	25959	17717342	E101	2	2734	2764	2.22384784199	44	A23R1A192R1A63R2A1R2A203R1A25R2A78R1A13R2A3R3A1R1A2R1A5R1A204R1A2R1A803R2A142R1A48R2A33R1A8R1A363R1A446R1A42R1A34
I	855	12805245	E102	1	1495	1498	1.91505016722	6	R395A1R331A1R323A1R446
I	12831261	15050205	E102	2	273	276	2.32967032967	4	A10R1A139R2A124
II	2118	12930503	E102	1	2901	2918	1.85798000689	18	R122A1R1A1R150A1R546A2R231A7R1A2R257A1R484A1R279A1R830
II	12969063	15276386	E102	2	323	327	1.91950464396	8	A10R1A76R1A11R1A175R1A51
III	7230	10668207	E102	1	1306	1311	1.80015313936	6	R413A1R344A3R356A1R193
III	10688360	13769991	E102	2	179	181	1.86033519553	4	A131R1A42R1A6
IV	57787	926844	E102	2	13	13	2.15384615385	0	A13
IV	967330	13879961	E102	1	1360	1371	2.10441176471	8	R290A1R560A1R186A6R1A3R323
IV	13906393	15134674	E102	2	236	237	2.18220338983	2	A202R1A34
IV	15174853	15294838	E102	1	26	26	2.42307692308	0	R26
IV	15304220	17488212	E102	2	263	268	2.21673003802	8	A32R1A65R2A28R1A1R1A137
V	3558	798571	E102	2	257	271	2.06225680934	4	A94R13A8R1A155
V	815379	1263272	E102	1	73	73	2.02739726027	0	R73
V	1281731	20921615	E102	2	4081	4126	2.10365106592	48	A186R4A485R1A162R3A42R1A2R1A40R4A72R1A30R2A317R1A598R1A19R1A6R1A92R1A113R1A128R1A41R7A366R2A99R2A370R1A145R1A20R5A129R1A21R1A237R1A361
X	28025	6151091	E102	2	600	610	1.97833333333	16	A12R1A88R1A27R2A207R2A1R1A2R1A132R1A108R1A23
X	6210475	7995185	E102	1	187	187	1.91978609626	0	R187
X	8004273	13964290	E102	2	419	425	1.83054892601	10	A63R1A10R1A53R1A180R2A9R1A104
X	13969978	17717342	E102	1	484	485	1.96280991736	2	R4A1R480
I	6313	11476443	E103	2	1773	1794	2.13197969543	36	A60R1A36R1A123R1A120R2A22R1A68R2A43R1A53R1A29R1A68R2A211R1A158R1A37R1A124R1A75R1A119R1A241R1A43R1A143
I	11479607	15059494	E103	1	1365	1366	1.96703296703	2	R867A1R498
II	943	15276386	E103	2	4390	4430	2.15603644647	60	A57R1A205R1A4R1A74R1A12R1A426R2A74R2A5R1A472R1A52R3A7R1A26R2A200R2A247R2A584R1A85R1A89R1A45R1A83R1A398R1A216R1A93R3A50R1A335R1A58R1A184R1A126R2A35R1A71R1A31R1A46
III	3823	11663886	E103	1	2586	2590	2.5007733952	6	R1738A1R176A2R73A1R599
III	11675815	13780512	E103	2	362	367	2.37016574586	10	A62R1A181R1A67R1A17R1A5R1A30
IV	57787	858140	E103	2	18	18	2.44444444444	0	A18
IV	874853	17490756	E103	1	3754	3765	2.43660095898	12	R1728A3R146A2R1A2R3A2R505A1R1047A1R324
V	396	13746225	E103	1	6665	6671	2.33128282071	10	R1367A1R2956A1R1512A2R222A1R155A1R453
V	13751825	19525707	E103	2	3420	3470	2.21578947368	42	A106R1A99R1A124R1A50R1A117R3A344R4A71R1A6R12A927R1A292R7A84R1A258R1A82R5A25R1A10R1A192R2A34R1A4R1A4R2A56R2A401R1A134
V	19553241	20922076	E103	1	1125	1127	2.26755555556	2	R302A2R823
X	5163	4750947	E103	1	1075	1076	2.10325581395	2	R397A1R678
X	4759896	4862932	E103	2	40	40	1.875	0	A40
X	4864961	11549662	E103	1	1261	1265	2.26090404441	4	R350A3R709A1R202
